gene	PValue
835	0.29555283401489
836	0.249926013107377
839	0.455672557723714
840	0.94036732805494
841	0.422321382093171
842	0.724920238449233
845	0.480783054344247
831	0.899645803429994
1495	0.189406708348674
1496	0.361640697923128
1499	0.218837424529244
1500	0.454478197357199
857	0.473402016310739
858	0.631711222083652
862	0.84972272928304
9139	0.819075536658087
863	0.75866429957482
865	0.560594900552544
867	0.224844245604751
147381	0.425692347340665
871	0.586514093640793
873	0.853565096467068
256329	0.812720345571185
102724560	0.183419792523439
10951	0.696886511090018
84733	0.382480417433325
11335	0.988443205801358
8535	0.51016291307405
23468	0.305238228911137
9821	0.47066577356886
885	0.808778975406364
887	0.506991475384203
595	0.892114798801128
894	0.678948479756192
896	0.816210053877436
898	0.738038960374987
9134	0.831174936828983
899	0.706142668308224
900	0.684833822880455
901	0.218177747802846
10983	0.457498789797067
8812	0.0784321395171075
904	0.349798157731155
9973	0.277636198756995
10576	0.919443283896887
7203	0.314851121808023
10575	0.406591415734079
22948	0.313087126589492
908	0.3411805585485
10574	0.127792751600264
10694	0.525856389733876
929	0.0701955027323009
977	0.718639820828943
912	0.980464173584669
23607	0.364050210074172
947	0.389283630036499
950	0.781604089603541
952	0.844802478436825
953	0.25651025775767
954	0.729183982380153
955	0.391013809136929
957	0.986218647585809
960	0.198898400664484
963	0.00167216598723061
966	0.933125597674379
967	0.481299322307499
968	0.0140637503662312
973	0.331451018601827
975	0.866606039059055
3732	0.493508827914403
9308	0.609898157027136
928	0.355034919073287
993	0.606847472481574
994	0.772416783328062
983	0.301322578197468
984	0.15903309247482
728642	0.15903309247482
11140	0.931088351194075
54490	0.164721427167463
998	0.164721427167463
8318	0.863772212696278
8317	0.307768216523742
57514	0.0746855224112936
999	0.435170417982434
1009	0.485267990331987
1012	0.652847008180282
1013	0.293446429251565
1000	0.354962568765458
1001	0.936396100550399
1002	0.0156048930088
1004	0.627110433440009
1006	0.611465410067967
1007	0.903493994539705
1017	0.705798107782979
1019	0.16539128120761
1020	0.314028347326104
8851	0.546838496669992
8941	0.780340281445222
1022	0.360684367370438
1026	0.044142669824294
1027	0.241933913987339
4113	0.889448172327379
1028	0.889448172327379
1030	0.663820247785257
1031	0.67636602949717
1032	0.0605922092585478
1036	0.118561240264152
1039	0.852168396489433
28981	0.611716769545742
9425	0.489451819696766
1050	0.239221971371667
10153	0.953741816689048
1051	0.210111438124953
1052	1.04431747176703e-08
1054	0.141575152052078
9620	0.0847592629262415
1058	0.392849286822352
1059	0.317673422647738
1060	0.623228998660183
1070	0.199080777411988
3075	0.536711718277534
1072	0.677004363826707
1073	0.500430089733097
